2021-08-23 18:39:17 WARN  Entity:191 - parse error:mdm_put.put_xref_dim_region_v2.8. 
2021-08-23 18:39:17 WARN  Entity:191 - parse error:stg_dds.dim_acc.8. 
2021-08-23 18:39:18 WARN  Entity:191 - parse error:stg_dmcm.tfct_shpd_day.8. 
2021-08-23 18:39:19 WARN  Entity:191 - parse error:stg_dm_feb.tfct_charge_address_dq.9. 
2021-08-23 18:39:19 WARN  Entity:191 - parse error:stg_dds.dim_acc.10. 
2021-08-23 18:39:20 WARN  Entity:191 - parse error:mdm_put.put_xref_dim_branch_v2.11. 
2021-08-23 18:39:20 WARN  Entity:191 - parse error:mdm_put.put_xref_dim_region_v2.11. 
2021-08-23 18:39:21 WARN  Entity:191 - parse error:stg_dm_b2b.tfct_internet_traf.11. 
2021-08-23 18:39:21 WARN  Entity:191 - parse error:stg_dds.dim_acc.12. 
2021-08-23 18:39:21 WARN  Entity:191 - parse error:mdm_put.put_dim_segment_xref_start_ip.107. 
2021-08-23 18:39:22 WARN  Entity:191 - parse error:stg_dds.dim_clnt.107. 
2021-08-23 18:39:22 WARN  Entity:191 - parse error:stg_dds.tfct_debt.107. 
2021-08-23 18:39:22 WARN  Entity:191 - parse error:stg_dmcm.tfct_shpd_day.107. 
2021-08-23 18:39:22 WARN  Entity:191 - parse error:stg_dm_b2b.tfct_dynamic_abon_base.107. 
2021-08-23 18:39:22 WARN  Entity:191 - parse error:stg_dm_b2b.tfct_serv_sales.107. 
2021-08-23 18:39:23 WARN  Entity:191 - parse error:stg_dm_b2b.tfct_serv_sales.108. 
2021-08-23 18:39:23 WARN  Entity:191 - parse error:mdm_put.put_xref_dim_branch_v2.109. 
2021-08-23 18:39:23 WARN  Entity:191 - parse error:stg_dm_b2b.tfct_abon_base.109. 
2021-08-23 18:39:23 WARN  Entity:191 - parse error:stg_dm_feb.tfct_charge_address_dq.109. 
2021-08-23 18:39:24 WARN  Entity:191 - parse error:stg_dds.tfct_debt.110. 
2021-08-23 18:39:24 WARN  Entity:191 - parse error:stg_dm_b2b.dim_clnt_dly.110. 
2021-08-23 18:39:24 WARN  Entity:191 - parse error:stg_dm_b2b.dim_eef_ch_corr_client.110. 
2021-08-23 18:39:24 WARN  Entity:191 - parse error:stg_dds.dim_clnt.111. 
2021-08-23 18:39:25 WARN  Entity:191 - parse error:stg_dds.dim_clnt.112. 
2021-08-23 18:39:26 WARN  Entity:191 - parse error:stg_dm_b2b.dim_clnt_dly.112. 
2021-08-23 18:39:26 WARN  Entity:191 - parse error:stg_dm_b2b.dim_eef_service.112. 
2021-08-23 18:39:27 WARN  Entity:191 - parse error:stg_dm_b2b.dim_clnt_dly.113. 
2021-08-23 18:39:27 WARN  Entity:191 - parse error:stg_dm_b2b.tfct_serv_sales.113. 
2021-08-23 18:39:28 WARN  Entity:191 - parse error:stg_dm_b2b.tfct_iptv_base_pack.26. 
2021-08-23 18:39:29 WARN  Entity:191 - parse error:stg_dm_b2b.tfct_internet_traf.27. 
2021-08-23 18:39:31 WARN  Entity:191 - parse error:stg_dm_b2b.tfct_telephony_traf.28. 
2021-08-23 18:39:31 WARN  Entity:191 - parse error:stg_dds.dim_contract.28. 
2021-08-23 18:39:31 WARN  Entity:191 - parse error:stg_dm_feb.tfct_edo_statistic_detail.29. 
2021-08-23 18:39:32 WARN  Entity:191 - parse error:stg_dm_b2b.tfct_dynamic_abon_base.29. 
2021-08-23 18:39:32 WARN  Entity:191 - parse error:stg_dm_b2b.tfct_internet_traf.30. 
